name,state
Balu shahi,West Bengal
Boondi,Rajasthan
Gajar ka halwa,Punjab
Ghevar,Rajasthan
Gulab jamun,West Bengal
Imarti,West Bengal
Jalebi,Uttar Pradesh
Kaju katli,-1
Kalakand,West Bengal
Kheer,-1
Laddu,-1
Lassi,Punjab
Nankhatai,-1
Petha,Uttar Pradesh
Phirni,Odisha
Rabri,Uttar Pradesh
Sheera,Maharashtra
Singori,Uttarakhand
Sohan halwa,Uttar Pradesh
Sohan papdi,Maharashtra
Chhena jalebi,Odisha
Chhena kheeri,Odisha
Chhena poda,Odisha
Cham cham,West Bengal
Kheer sagar,Odisha
Ledikeni,West Bengal
Lyangcha,Assam
Malapua,Bihar
Mihidana,West Bengal
Misti doi,West Bengal
Pantua,West Bengal
Pithe,Assam
Rasabali,Odisha
Ras malai,West Bengal
Rasgulla,West Bengal
Sandesh,West Bengal
Adhirasam,West Bengal
Ariselu,Andhra Pradesh
Bandar laddu,Andhra Pradesh
Chikki,Maharashtra
Dharwad pedha,Karnataka
Double ka meetha,Telangana
Gavvalu,Andhra Pradesh
Kakinada khaja,Andhra Pradesh
Kuzhi paniyaram,Kerala
Mysore pak,Karnataka
Obbattu holige,Karnataka
Palathalikalu,Andhra Pradesh
Poornalu,Andhra Pradesh
Pongal,Tamil Nadu
Pootharekulu,Andhra Pradesh
Qubani ka meetha,Telangana
Sheer korma,Telangana
Unni Appam,Tamil Nadu
Kajjikaya,Andhra Pradesh
Anarsa,Maharashtra
Basundi,Gujarat
Dhondas,Maharashtra
Doodhpak,Gujarat
Mahim halwa,Maharashtra
Modak,Maharashtra
Shankarpali,Maharashtra
Shrikhand,Maharashtra
Sutar feni,Maharashtra
Maach Jhol,Assam
Pork Bharta,Tripura
Chak Hao Kheer,Manipur
Galho,Nagaland
Aloo gobi,Punjab
Aloo tikki,Punjab
Aloo matar,Punjab
Aloo methi,Punjab
Aloo shimla mirch,Punjab
Bhatura,Punjab
Bhindi masala,Punjab
Biryani,Telangana
Butter chicken,NCT of Delhi
Chana masala,Punjab
Chapati,Maharashtra
Chicken razala,West Bengal
Chicken Tikka masala,Punjab
Chicken Tikka,Punjab
Chole bhature,Punjab
Daal baati churma,Rajasthan
Daal puri,West Bengal
Dal makhani ,Punjab
Dal tadka,Punjab
Dum aloo,Jammu & Kashmir
Poha,Maharashtra
Fara,Chhattisgarh
Kachori,Uttar Pradesh
Kadai paneer,Punjab
Kadhi pakoda,Haryana
Karela bharta,Punjab
Khichdi,#NAME?
Kofta,Uttar Pradesh
Kulfi falooda,-1
Lauki ke kofte,Uttar Pradesh
Lauki ki subji,-1
Litti chokha,Bihar
Makki di roti sarson da saag,Punjab
Misi roti,Punjab
Mushroom do pyaza,Punjab
Mushroom matar,Punjab
Naan,Punjab
Navrattan korma,Uttar Pradesh
Palak paneer,Punjab
Paneer butter masala,Punjab
Paneer tikka masala,Punjab
Pani puri,-1
Panjeeri,Uttar Pradesh
Papad,-1
Paratha,Punjab
Pattor,Rajasthan
Pindi chana,Punjab
Rajma chaval,-1
Rongi,Punjab
Samosa,-1
Sattu ki roti,Bihar
Shahi paneer,Punjab
Shahi tukra,Telangana
Vegetable jalfrezi,Punjab
Tandoori Chicken,Punjab
Tandoori Fish Tikka,Punjab
Attu,Andhra Pradesh
Avial,Kerala
Bisi bele bath,Karnataka
Currivepillai sadam ,Tamil Nadu
Dosa,-1
Idiappam,Tamil Nadu
Idli,-1
Kanji,Kerala
Kaara kozhambu,Tamil Nadu
Keerai kootu,Tamil Nadu
Keerai masiyal,Tamil Nadu
Keerai sadam,Tamil Nadu
Keerai poriyal,Tamil Nadu
Beef Fry,Kerala
Kootu,Tamil Nadu
Kos kootu,Tamil Nadu
Koshambri,Karnataka
Kothamali sadam,Tamil Nadu
Kuzhakkattai,Tamil Nadu
Kuzhambu,Tamil Nadu
Masala Dosa,-1
Pachadi,-1
Paniyaram,Tamil Nadu
Papadum,Kerala
Paravannam,Kerala
Payasam,-1
Paruppu sadam,Tamil Nadu
Pesarattu,Andhra Pradesh
Poriyal,Tamil Nadu
Puli sadam,Tamil Nadu
Rasam,-1
Puttu,Kerala
Sambar,-1
Sandige,Karnataka
Sevai,-1
Thayir sadam,Tamil Nadu
Theeyal,Kerala
Uttapam,-1
Vada,-1
Chicken Varuval,Tamil Nadu
Upma,-1
Amti,Maharashtra
Zunka,Maharashtra
Kolim Jawla,Maharashtra
Saath,Gujarat
Bajri no rotlo,Gujarat
Coconut vadi,Maharashtra
Bhakri,Maharashtra
Bombil fry,Maharashtra
Chakali,Maharashtra
Chevdo,Gujarat
Chorafali,Gujarat
Copra paak,Gujarat
Daal Dhokli,Gujarat
Kutchi dabeli,Gujarat
Dahi vada,Maharashtra
Dalithoy,Maharashtra
Dhokla,Gujarat
Dudhi halwa,Gujarat
Gatta curry,Rajasthan
Gud papdi,Gujarat
Ghooghra,Gujarat
Handwo,Gujarat
Halvasan,Gujarat
Jeera Aloo,Gujarat
Kansar,Gujarat
Keri no ras,Gujarat
Khakhra,Gujarat
Khandvi,Gujarat
Kombdi vade,Maharashtra
Laapsi,Madhya Pradesh
Koshimbir,Maharashtra
Methi na Gota,Gujarat
Mohanthal,Gujarat
Muthiya,Gujarat
Patra,Gujarat
Pav Bhaji,Maharashtra
Puri Bhaji,Maharashtra
Sabudana Khichadi,Maharashtra
Sev khamani,Gujarat
Sev tameta,Gujarat
Namakpara,Gujarat
Sukhdi,Maharashtra
Surnoli,Maharashtra
Thalipeeth,Maharashtra
Undhiyu,Gujarat
Veg Kolhapuri,Maharashtra
Vindaloo,Goa
Lilva Kachori,Gujarat
Mag Dhokli,Gujarat
Khichu,Gujarat
Thepla,Gujarat
Farsi Puri,Gujarat
Khaman,Gujarat
Turiya Patra Vatana sabji,Gujarat
Churma Ladoo,Rajasthan
Cheera Doi,West Bengal
Gheela Pitha,Assam
Khar,Assam
Kumol Sawul,Assam
Luchi,West Bengal
Alu Pitika,Assam
Masor tenga,Assam
Bengena Pitika,Assam
Bilahi Maas,Assam
Black rice,Manipur
Bora Sawul,Assam
Brown Rice,-1
Chingri malai curry,West Bengal
Goja,West Bengal
Hando Guri,Assam
Haq Maas,Assam
Chingri Bhape,West Bengal
Kabiraji,West Bengal
Khorisa,Assam
Koldil Chicken,Assam
Konir Dom,Assam
Koldil Duck,Assam
Masor Koni,Assam
Mishti Chholar Dal,West Bengal
Pakhala,Odisha
Pani Pitha,Assam
Payokh,Assam
Prawn malai curry,West Bengal
Red Rice,-1
Shukto,West Bengal
Til Pitha,Assam
Bebinca,Goa
Shufta,Jammu & Kashmir
Mawa Bati,Madhya Pradesh
Pinaca,Goa
